codigo_produto;nome;codigo_de_barras;sigla_da_unidade_de_medida;marca_do_produto;categoria;subcategoria_nivel_1;subcategoria_nivel_2;preco_custo;preco_fornecedor;preco_minimo_de_venda;preco_venda;peso;estoque_minimo;origem_produto;receita_do_produto;referencia_interna;enviar_dados_balanca;informacao_adicional;cnpj_fornecedor;nome_do_fornecedor;multiplicador;sigla_pacote;grade_1;grade_2;opcao_de_grade_1;opcao_de_grade_2;NCM;cest;aliquota_cofins;aliquota_ipi;aliquota_pis;enquadramento_de_ipi;codigo_situacao_tributaria_ipi;codigo_situacao_tributaria_pis;codigo_situacao_tributaria_icms;aliquota_icms;mva;reducao_na_base_de_calculo;origem_icms;destino_icms;csosn;codigo_beneficio_fiscal_regra_icms;codigo_beneficio_fiscal_produto;valor_base_calculo_icms_st_retido_anteriormente;valor_icms_st_retido_anteriormente
37;CALCA MASC NEW BASIC;;UN;;;;;1;;;169.000;;;;;19030014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
38;CALCA MASC ONE FIT;;UN;;;;;1;;;145.000;;;;;11120042;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
39;CALCA MASC ONE FIT;;UN;;;;;1;;;167.000;;;;;18430010;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
40;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
41;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
42;CALCA MASC ONE FIT;;UN;;;;;1;;;145.000;;;;;11120042;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
43;CALCA MASC STOP WEAR;;UN;;;;;1;;;185.000;;;;;718806014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
44;CALCA MASC STOP WEAR;;UN;;;;;1;;;159.000;;;;;3961002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
45;CALCA MASC NEW BASIC;;UN;;;;;1;;;170.000;;;;;20400002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
46;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
47;CALCA MASC NEW BASIC;;UN;;;;;1;;;169.000;;;;;19030014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
48;CALCA MASC STOP WEAR;;UN;;;;;1;;;155.000;;;;;18806011;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
49;CALCA MASC STOP WEAR;;UN;;;;;1;;;185.000;;;;;718806014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
50;CALCA MASC ONE FIT;;UN;;;;;1;;;167.000;;;;;18430010;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
51;CALCA MASC RETA;;UN;;;;;1;;;149.000;;;;;10330010;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
52;CALCA MASC ONE FIT;;UN;;;;;1;;;170.000;;;;;14110074;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
53;CALCA MASC NEW BASIC;;UN;;;;;1;;;170.000;;;;;14110082;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
54;CALCA MASC SPORT WEAR ONIX;;UN;;;;;1;;;80.000;;;;;789280915;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
55;CALCA MASC SPORT CITY;;UN;;;;;1;;;60.000;;;;;789280928;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
56;CALCA MASC NEW BASIC;;UN;;;;;1;;;145.000;;;;;18960002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
57;CALCA MASC RETA BAIXA ONIX;;UN;;;;;1;;;120.000;;;;;789280918;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
58;CALCA MASC RETA;;UN;;;;;1;;;149.000;;;;;10330010;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
59;SHORT BANA BANA;;UN;;;;;1;;;179.000;;;;;40499;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
61;SHORT MINERAL;;UN;;;;;1;;;79.900;;;;;790916898;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
62;SHORT COLL DENIM;;UN;;;;;1;;;132.000;;;;;1614008;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
63;SHORT JUMP FEM;;UN;;;;;1;;;140.000;;;;;JP3294;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
64;SHORT COLL DENIM;;UN;;;;;1;;;139.000;;;;;1614002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
65;SHORT BANA BANA;;UN;;;;;1;;;197.000;;;;;40510;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
66;CALCA FEM PUSH UP MEDIA SKIN;;UN;;;;;1;;;133.000;;;;;16440015;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
67;CALCA JEANS EVEIZA;;UN;;;;;1;;;210.000;;;;;220063;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
68;CALCA FEM MEDIA PUSH UP SKINN;;UN;;;;;1;;;155.000;;;;;15940057;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
69;CALCA FEM PUSH UP SLIM CONTEN;;UN;;;;;1;;;153.000;;;;;15940003;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
70;CALCA FEM CINTURA ALTA SKINNY;;UN;;;;;1;;;140.000;;;;;17890003;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
71;CALCA FEM CONTEMP PUSH UP;;UN;;;;;1;;;147.000;;;;;15940053;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
74;BLUSA POLO MINERAL MASC.;;UN;;;;;1;;;66.000;;;;;998895;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
76;BLUSA MINERAL POLO MASC.;;UN;;;;;1;;;58.000;;;;;10700471;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
77;BLUSA MINERAL POLO MASC.;;UN;;;;;1;;;70.000;;;;;80700641;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
78;BLUSA LUPUS POLO MASC.;;UN;;;;;1;;;75.000;;;;;3334;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
79;BLUSA LUPUS MASC.;;UN;;;;;1;;;58.000;;;;;3353;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
80;BLUSA MINERAL POLO MASC.;;UN;;;;;1;;;42.000;;;;;10701453;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
81;BLUSA PITT POLO MASC.;;UN;;;;;1;;;105.000;;;;;395030172;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
82;BLUSA LUPUS POLO MASC.;;UN;;;;;1;;;70.000;;;;;3329;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
83;BLUSA MINERAL POLO MASC.;;UN;;;;;1;;;42.000;;;;;10701452;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
84;BLUSA LUPUS MASC.;;UN;;;;;1;;;65.000;;;;;1951;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
85;BLUSA PITT POLO MASC.;;UN;;;;;1;;;105.000;;;;;395330012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
86;BLUSA LUPUS POLO MASC.;;UN;;;;;1;;;93.000;;;;;3209;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
87;BLUSA LUPUS POLO MASC.;;UN;;;;;1;;;98.000;;;;;3203;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
88;BLUSA LUPUS MASC. GOLA V;;UN;;;;;1;;;87.000;;;;;3215;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
89;BLUSA LUPUS GOLA CARECA;;UN;;;;;1;;;87.000;;;;;3239;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
90;BLUSA MINERAL GOLA CARECA MASC.;;UN;;;;;1;;;43.000;;;;;10701571;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
91;BLUSA MINERAL POLO MASC.;;UN;;;;;1;;;74.000;;;;;10701453;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
92;BLUSA PITT POLO MASC.;;UN;;;;;1;;;85.000;;;;;90060058;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
93;BLUSA PITT POLO MASC.;;UN;;;;;1;;;75.000;;;;;95030152;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
94;BLUSA PITT GOLA CARECA;;UN;;;;;1;;;65.000;;;;;95220016;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
95;BLUSA PITT POLO MASC.;;UN;;;;;1;;;60.000;;;;;90040772;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
97;BLUSA PAKALOLO POLO;;UN;;;;;1;;;95.000;;;;;77541;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
98;BLUSA PAKALOLO POLO;;UN;;;;;1;;;95.000;;;;;77688;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
99;BLUSA MINERAL POLO;;UN;;;;;1;;;74.000;;;;;98737;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
100;BLUSA MINERAL POLO;;UN;;;;;1;;;62.000;;;;;10700596;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
101;BLUSA MINERAL POLO;;UN;;;;;1;;;70.000;;;;;80700641;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
102;BLUSA MINERAL REGATA;;UN;;;;;1;;;83.000;;;;;10700603;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
103;BLUSA LUPUS POLO;;UN;;;;;1;;;72.000;;;;;1930;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
104;BLUSA LUPUS GOLA CARECA;;UN;;;;;1;;;69.000;;;;;3240;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
105;BLUSA LUPUS GOLA V;;UN;;;;;1;;;87.000;;;;;3251;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
106;BLUSA LUPUS POLO;;UN;;;;;1;;;99.900;;;;;3309;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
107;BLUSA BOCA GRANDE POLO;;UN;;;;;1;;;49.000;;;;;56369;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
108;BLUSA LECIMAR GOLA V MASC.;;UN;;;;;1;;;38.000;;;;;20730;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
