CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
7429,00;137087,00;PASSAFIO 10MT C/ALMA ACO FOXLUX;UND;0.0;12.21;12.21;18.0;20.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
7592,00;790000000000,00;*PINO FEMEA 2P TRAMONTINA CINZA;UND;0.0;2.08;2.25;4.5;4.5;8536.69.10;60.0;500.0;0.0;0.0;0.0
7612,00;649570,00;PINO MACHO 2P+T 10A PRENSA ILUMI 14050;UND;26.0;4.23;4.23;7.0;7.8;8536.90.90;60.0;500.0;0.0;0.0;0.0
7616,00;36701,00;PINO MACHO 2P COLOR 10A TRAMONTINA;UND;165.0;2.24;2.24;4.5;5.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
8028,00;8028,00;*REGULADOR ;UND;0.0;24.26;24.26;39.9;39.9;8481.10.00;60.0;500.0;0.0;0.0;0.0
8069,00;8069,00;*REMOVEDOR ;UND;0.0;23.04;23.04;30.0;33.5;3814.00.90;0.0;102.0;18.0;0.0;0.0
8101,00;8101,00;*REVEST 33X66 ITAUNAS BRANCO GELO HD CX2.61 ELIZABETH C;MT;9070000.0;10.99;15.32;30.0;33.5;6907.22.00;60.0;500.0;0.0;0.0;0.0
8200,00;7900000000000,00;*DISCO SERRA C/VIDEA 110X20 24D BRMAIS;UND;4.0;5.92;5.93;13.23;13.5;8202.39.00;0.0;102.0;18.0;0.0;0.0
8280,00;8280,00;*SPRAY ;UND;0.0;1.0;1.0;1.0;1.0;3208.20.11;60.0;500.0;0.0;0.0;0.0
8361,00;36665,00;TARUGO 1/2 - GONZO;UND;142.0;1.65;1.65;3.0;3.5;8302.10.00;60.0;500.0;0.0;0.0;0.0
8554,00;;*TINTA 18L REND MUIT BR NEVE ACR FC CORAL;LAT;4.0;302.16;302.16;362.59;399.99;3209.10.10;60.0;500.0;0.0;0.0;0.0
8732,00;122418,00;TINTA ESM SINT 3.6L AMARELO STARLUX;GL;0.0;71.45;71.61;88.0;98.0;3208.10.10;60.0;500.0;0.0;0.0;0.0
8797,00;120247,00;TINTA ESM SINT 900ML AMARELO STARLUX;KGS;2.0;24.16;24.16;32.0;35.6;2522.30.00;60.0;500.0;0.0;0.0;0.0
8848,00;8848,00;*TOMADA PLUZIE;UND;0.0;5.61;5.61;9.0;10.0;8536.50.90;60.0;500.0;0.0;0.0;0.0
8869,00;8869,00;*TOMADA;UND;0.0;1.0;1.0;1.0;1.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
8995,00;8995,00;*TORNEIRA;UND;0.0;5.85;1.0;1.0;1.0;8481.80.19;60.0;500.0;0.0;0.0;0.0
9062,00;591160,00;TUBO ESG 150MM FORTLEV;BAR;0.0;129.19;129.65;170.0;189.0;3917.23.00;60.0;500.0;0.0;0.0;0.0
9069,00;9069,00;TUBO ESG 40MM PLASTILIT;MT;42.0;4.26;4.26;6.0;6.7;3917.23.00;60.0;500.0;0.0;0.0;0.0
9076,00;9076,00;TUBO ESG 50MM NORDESTE;MT;27500000.0;6.31;6.31;8.5;9.45;3917.23.00;60.0;500.0;0.0;0.0;0.0
9216,00;9216,00;*VEDACIT ;UND;0.0;34.21;34.21;51.61;55.9;3824.40.00;0.0;102.0;18.0;0.0;0.0
